cumulative_attempts	attempts	complete	unchanged	same_edge	self_loop	duplicate	undirected_duplicate	excluded	metaedge	abbrev	permutation
142840	14284	0.99995	0.047267	0	0	0.10137	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
142847	7	1	0.047239	0	0	0	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	1
1153	1154	0.10003	0.52323	0.00086655	0	0.14471	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
2306	1153	0.19998	0.29473	0	0	0.17606	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
3459	1153	0.29993	0.19001	0.0008673	0	0.14657	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
4612	1153	0.39988	0.13766	0.0008673	0	0.16045	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
5765	1153	0.49983	0.10853	0.0017346	0	0.17346	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
6918	1153	0.59977	0.089112	0.0008673	0	0.17259	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
8071	1153	0.69972	0.090499	0	0	0.16479	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
9224	1153	0.79967	0.092926	0	0	0.15872	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
10377	1153	0.89962	0.091193	0	0	0.14831	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
11530	1153	0.99957	0.088419	0	0	0.1778	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
11535	5	1	0.088766	0	0	0.4	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	1
17495	17496	0.1	0.54201	5.7156e-05	0	0.19696	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
34990	17495	0.2	0.31763	0.00011432	0	0.19623	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
52485	17495	0.3	0.20858	5.7159e-05	0	0.19949	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
69980	17495	0.39999	0.15544	0	0	0.20252	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
87475	17495	0.49999	0.12838	5.7159e-05	0	0.19817	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
104970	17495	0.59999	0.11402	0	0	0.19554	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
122465	17495	0.69998	0.10771	0	0	0.20252	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
139960	17495	0.79998	0.10441	0	0	0.20166	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
157455	17495	0.89997	0.1019	0	0	0.19857	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
174950	17495	0.99997	0.10268	0	0	0.19503	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
174955	5	1	0.1027	0	0	0.2	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	1
3184	3185	0.10003	0.54359	0.00062794	0	0.20973	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
6368	3184	0.20003	0.32224	0.00031407	0	0.20006	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
9552	3184	0.30003	0.21872	0.00031407	0	0.21954	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
12736	3184	0.40003	0.16269	0	0	0.21765	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
15920	3184	0.50003	0.14058	0.00031407	0	0.20572	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
19104	3184	0.60003	0.12676	0	0	0.22896	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
22288	3184	0.70003	0.12111	0	0	0.21828	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
25472	3184	0.80003	0.11683	0	0	0.2142	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
28656	3184	0.90003	0.11533	0.00031407	0	0.21325	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
31839	3183	1	0.12023	0	0	0.21646	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	1
3185	3186	0.10003	0.51086	0.00062775	0	0.14344	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
6370	3185	0.20002	0.28369	0	0	0.14474	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
9555	3185	0.30001	0.17443	0.00031397	0	0.15793	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
12740	3185	0.40001	0.12282	0	0	0.15447	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
15925	3185	0.5	0.10034	0	0	0.1551	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
19110	3185	0.59999	0.089414	0	0	0.1617	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
22295	3185	0.69999	0.084516	0	0	0.15761	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
25480	3185	0.79998	0.07899	0	0	0.14443	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
28665	3185	0.89997	0.079618	0.00031397	0	0.16766	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
31850	3185	0.99997	0.080748	0.00031397	0	0.15918	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
31851	1	1	0.080748	0	0	0	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	1
287	288	0.10028	0.48607	0	0	0.10069	0	0	Gene - participates - Hallmarks	GpH	1
574	287	0.20021	0.2507	0	0	0.059233	0	0	Gene - participates - Hallmarks	GpH	1
861	287	0.30014	0.16156	0	0	0.10105	0	0	Gene - participates - Hallmarks	GpH	1
1148	287	0.40007	0.098886	0.0034843	0	0.10453	0	0	Gene - participates - Hallmarks	GpH	1
1435	287	0.5	0.073816	0	0	0.069686	0	0	Gene - participates - Hallmarks	GpH	1
1722	287	0.59993	0.05571	0	0	0.10453	0	0	Gene - participates - Hallmarks	GpH	1
2009	287	0.69986	0.062674	0	0	0.094077	0	0	Gene - participates - Hallmarks	GpH	1
2296	287	0.79979	0.059889	0.0034843	0	0.083624	0	0	Gene - participates - Hallmarks	GpH	1
2583	287	0.89972	0.05571	0.0034843	0	0.076655	0	0	Gene - participates - Hallmarks	GpH	1
2870	287	0.99965	0.048747	0.0034843	0	0.076655	0	0	Gene - participates - Hallmarks	GpH	1
2871	1	1	0.048747	0	0	0	0	0	Gene - participates - Hallmarks	GpH	1
35514	35515	0.1	0.46815	0	0	0.037984	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
71028	35514	0.2	0.22391	0	0	0.036802	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
106542	35514	0.3	0.11291	2.8158e-05	0	0.036127	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
142056	35514	0.4	0.062567	0	0	0.037844	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
177570	35514	0.5	0.039331	0	0	0.037901	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
213084	35514	0.6	0.028946	0	0	0.037534	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
248598	35514	0.7	0.023957	2.8158e-05	0	0.037675	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
284112	35514	0.8	0.022143	0	0	0.03638	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
319626	35514	0.9	0.020307	5.6316e-05	0	0.03714	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
355139	35513	1	0.020105	0	0	0.037395	0	0	Gene - participates - Immunologic-Gene-Sets	GpC7	1
1657	1658	0.10005	0.53608	0.00060314	0	0.17672	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
3314	1657	0.20004	0.30944	0.001207	0	0.17139	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
4971	1657	0.30002	0.1943	0	0	0.17139	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
6628	1657	0.40001	0.13951	0	0	0.17924	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
8285	1657	0.5	0.11369	0.001207	0	0.17924	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
9942	1657	0.59999	0.1021	0	0	0.16958	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
11599	1657	0.69998	0.092686	0.0006035	0	0.17441	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
13256	1657	0.79996	0.08448	0	0	0.17984	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
14913	1657	0.89995	0.090514	0	0	0.16295	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
16570	1657	0.99994	0.090273	0	0	0.17381	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
16571	1	1	0.090273	0	0	0	0	0	Gene - participates - Motif-Gene-Sets-MIR	GpC3MIR	1
6937	6938	0.10001	0.54324	0.00014413	0	0.20366	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
13874	6937	0.2	0.32369	0.00014415	0	0.21162	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
20811	6937	0.29999	0.21356	0.00028831	0	0.2194	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
27748	6937	0.39998	0.16236	0	0	0.21018	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
34685	6937	0.49997	0.13399	0.00014415	0	0.20773	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
41622	6937	0.59996	0.12056	0	0	0.21104	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
48559	6937	0.69995	0.11445	0.00028831	0	0.21234	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
55496	6937	0.79995	0.11214	0	0	0.21263	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
62433	6937	0.89994	0.10949	0.00014415	0	0.206	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
69370	6937	0.99993	0.10932	0	0	0.21652	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
69375	5	1	0.10932	0	0	0	0	0	Gene - participates - Motif-Gene-Sets-TFT	GpC3TFT	1
1134	1135	0.10005	0.48413	0	0	0.051982	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
2268	1134	0.20002	0.24189	0.00088183	0	0.066138	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
3402	1134	0.29998	0.13434	0	0	0.049383	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
4536	1134	0.39995	0.075106	0	0	0.059965	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
5670	1134	0.49991	0.04866	0.0017637	0	0.055556	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
6804	1134	0.59988	0.037729	0.00088183	0	0.065256	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
7938	1134	0.69984	0.034203	0.00088183	0	0.050265	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
9072	1134	0.79981	0.031382	0	0	0.052028	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
10206	1134	0.89977	0.027151	0	0	0.044974	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
11340	1134	0.99974	0.026093	0	0	0.049383	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
11343	3	1	0.026446	0	0	0.33333	0	0	Gene - participates - Oncogenic-Gene-Sets	GpC6	1
510	511	0.10004	0.46359	0	0	0.02544	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
1020	510	0.19988	0.22553	0	0	0.02549	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
1530	510	0.29973	0.11825	0	0	0.021569	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
2040	510	0.39957	0.055599	0	0	0.0039216	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
2550	510	0.49941	0.03289	0.0019608	0	0.023529	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
3060	510	0.59926	0.023493	0	0	0.011765	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
3570	510	0.6991	0.016445	0	0	0.019608	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
4080	510	0.79894	0.016445	0	0	0.0098039	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
4590	510	0.89879	0.013312	0	0	0.011765	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
5100	510	0.99863	0.015662	0	0	0.013725	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
5107	7	1	0.015662	0	0	0	0	0	Gene - participates - Positional-Gene-Sets	GpC1	1
708	709	0.10008	0.48108	0	0	0.069111	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
1416	708	0.20003	0.2524	0	0	0.070621	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
2124	708	0.29997	0.14229	0.0014124	0	0.069209	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
2832	708	0.39992	0.081875	0	0	0.087571	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
3540	708	0.49986	0.060418	0	0	0.076271	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
4248	708	0.5998	0.052513	0	0	0.084746	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
4956	708	0.69975	0.044608	0.0014124	0	0.053672	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
5664	708	0.79969	0.037267	0	0	0.062147	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
6372	708	0.89963	0.035573	0	0	0.062147	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
7080	708	0.99958	0.042914	0.0028249	0	0.066384	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
7083	3	1	0.043478	0	0	0	0	0	Gene - participates - xCell-Cell-Type	GpXCELL	1
1963	1964	0.10002	0.52414	0	0	0.15224	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
3926	1963	0.19999	0.30352	0	0	0.17932	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
5889	1963	0.29996	0.18293	0.00050942	0	0.16658	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
7852	1963	0.39993	0.13974	0	0	0.17066	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
9815	1963	0.4999	0.11509	0	0	0.1676	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
11778	1963	0.59987	0.10756	0.00050942	0	0.17626	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
13741	1963	0.69984	0.099613	0	0	0.16811	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
15704	1963	0.79981	0.098594	0	0	0.17422	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
17667	1963	0.89978	0.10145	0.00050942	0	0.16862	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
19630	1963	0.99975	0.091668	0.00050942	0	0.16302	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
19635	5	1	0.091465	0	0	0.2	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	2
1617	1618	0.10005	0.50878	0.00061805	0	0.12979	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
3234	1617	0.20004	0.27653	0	0	0.12245	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
4851	1617	0.30002	0.16473	0.00061843	0	0.13791	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
6468	1617	0.40001	0.11402	0.00061843	0	0.12307	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
8085	1617	0.5	0.090527	0.00061843	0	0.13296	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
9702	1617	0.59999	0.078407	0	0	0.15275	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
11319	1617	0.69998	0.069503	0	0	0.11688	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
12936	1617	0.79996	0.065051	0.00061843	0	0.13049	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
14553	1617	0.89995	0.068266	0.00061843	0	0.12925	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
16170	1617	0.99994	0.073955	0.00061843	0	0.13173	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
16171	1	1	0.073955	0	0	0	0	0	Gene - participates - Computational-Gene-Sets-CM	GpC4CM	2
14284	14285	0.1	0.49471	7.0004e-05	0	0.095485	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
28568	14284	0.2	0.2598	7.0008e-05	0	0.099272	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
42852	14284	0.29999	0.14793	7.0008e-05	0	0.095421	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
57136	14284	0.39998	0.094842	0	0	0.097452	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
71420	14284	0.49998	0.072525	0	0	0.098572	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
85704	14284	0.59997	0.059728	7.0008e-05	0	0.10228	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
99988	14284	0.69997	0.052251	7.0008e-05	0	0.093881	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
114272	14284	0.79996	0.052727	0	0	0.095211	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
128556	14284	0.89996	0.050991	7.0008e-05	0	0.094581	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
142840	14284	0.99995	0.049591	7.0008e-05	0	0.092971	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
142847	7	1	0.049619	0	0	0.14286	0	0	Gene - participates - Curated-Gene-Sets-CPG	GpC2CPG	2
1153	1154	0.10003	0.52288	0.00086655	0	0.15511	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
2306	1153	0.19998	0.29924	0	0	0.16305	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
3459	1153	0.29993	0.18273	0	0	0.16565	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
4612	1153	0.39988	0.1335	0	0	0.15872	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
5765	1153	0.49983	0.11373	0	0	0.16392	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
6918	1153	0.59977	0.10992	0	0	0.17433	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
8071	1153	0.69972	0.098128	0	0	0.15091	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
9224	1153	0.79967	0.09154	0.0008673	0	0.16652	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
10377	1153	0.89962	0.096394	0	0	0.16826	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
11530	1153	0.99957	0.0957	0.0008673	0	0.17433	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
11535	5	1	0.0957	0	0	0.2	0	0	Gene - participates - Curated-Gene-Sets-REACTOME	GpC2CPREACTOME	2
17495	17496	0.1	0.54402	5.7156e-05	0	0.19776	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
34990	17495	0.2	0.32042	0	0	0.204	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
52485	17495	0.3	0.21288	0	0	0.20509	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
69980	17495	0.39999	0.15835	0	0	0.20211	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
87475	17495	0.49999	0.13201	0	0	0.19794	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
104970	17495	0.59999	0.11582	0	0	0.20349	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
122465	17495	0.69998	0.10995	0	0	0.20274	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
139960	17495	0.79998	0.10549	0	0	0.19743	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
157455	17495	0.89997	0.10467	5.7159e-05	0	0.20206	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
174950	17495	0.99997	0.10133	5.7159e-05	0	0.19611	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
174955	5	1	0.1014	0	0	0.2	0	0	Gene - participates - GO-Gene-Sets-BP	GpC5BP	2
3184	3185	0.10003	0.55653	0.00031397	0	0.2248	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
6368	3184	0.20003	0.33116	0.00031407	0	0.21168	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
9552	3184	0.30003	0.21859	0	0	0.21325	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
12736	3184	0.40003	0.17274	0	0	0.21859	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
15920	3184	0.50003	0.14296	0.00031407	0	0.21482	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
19104	3184	0.60003	0.12839	0.00031407	0	0.21859	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
22288	3184	0.70003	0.12048	0	0	0.22362	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
25472	3184	0.80003	0.1191	0	0	0.20791	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
28656	3184	0.90003	0.11244	0	0	0.21545	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
31839	3183	1	0.11307	0.00031417	0	0.21929	0	0	Gene - participates - GO-Gene-Sets-CC	GpC5CC	2
3185	3186	0.10003	0.51865	0.00031387	0	0.14752	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
6370	3185	0.20002	0.28745	0.00031397	0	0.14788	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
9555	3185	0.30001	0.18172	0	0	0.15259	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
12740	3185	0.40001	0.12985	0	0	0.1573	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
15925	3185	0.5	0.10398	0	0	0.15133	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
19110	3185	0.59999	0.092553	0	0	0.14725	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
22295	3185	0.69999	0.089162	0	0	0.15322	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
25480	3185	0.79998	0.084265	0.00031397	0	0.14757	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
28665	3185	0.89997	0.081125	0	0	0.15353	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
31850	3185	0.99997	0.08213	0.00031397	0	0.15699	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
31851	1	1	0.08213	0	0	0	0	0	Gene - participates - GO-Gene-Sets-MF	GpC5MF	2
